question,correct,wrong1,wrong2,wrong3,difficulty,category
Which ancient wonder was a statue of Zeus located?,Olympia,Alexandria,Babylon,Rhodes,6,History
Who was the first human to journey into outer space?,Yuri Gagarin,Neil Armstrong,John Glenn,Buzz Aldrin,2,History
What is the capital of France?,Paris,Berlin,Madrid,Lisbon,1,Geography
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,3,Geography
In which country is Mount Everest located?,Nepal,India,China,Bhutan,2,Geography
What is the smallest country in the world?,Vatican City,Monaco,San Marino,Liechtenstein,4,Geography
Which U.S. state has the most islands?,Alaska,Hawaii,Florida,California,5,Geography
Which continent is the largest by area?,Asia,Africa,Europe,Antarctica,2,Geography
What is the primary language spoken in Brazil?,Portuguese,Spanish,French,English,1,Geography
Which city is known as the 'Eternal City'?,Rome,Athens,Cairo,Istanbul,3,Geography
Which country has the most natural lakes?,Canada,Russia,Finland,Sweden,4,Geography
What is the largest desert on Earth?,Antarctica,Sahara,Arabian,Gobi,4,Geography
What is the national currency of Japan?,Yen,Won,Baht,Peso,2,Geography
What is the name of the largest ocean?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,2,Geography
What is the hottest continent on Earth?,Africa,South America,Australia,Asia,3,Geography
Which European country is known for tulips?,Netherlands,Belgium,Denmark,Sweden,3,Geography
Which river flows through Paris?,Seine,Thames,Danube,Rhine,2,Geography
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,2,Geography
Which desert is known as the Empty Quarter?,Rub' al Khali,Sahara,Atacama,Kalahari,6,Geography
What is the name of Earth's largest island?,Greenland,Iceland,Borneo,Madagascar,3,Geography
Which country is called the Land of the Rising Sun?,Japan,China,Thailand,Vietnam,1,Geography
What is the highest mountain in Africa?,Kilimanjaro,Mount Kenya,Rwenzori,Table Mountain,4,Geography
In which country is the city of Istanbul located?,Turkey,Greece,Bulgaria,Armenia,2,Geography
What is the most populous city in the USA?,New York,Los Angeles,Chicago,Houston,2,Geography
Which country is the largest by land area?,Russia,Canada,China,USA,2,Geography
Which country is known as the Land of Fire and Ice?,Iceland,Norway,Greenland,New Zealand,6,Geography
Which ocean is located at the North Pole?,Arctic Ocean,Indian Ocean,Atlantic Ocean,Southern Ocean,3,Geography
Which movie features the character Jack Dawson?,Titanic,Avatar,Inception,Frozen,2,Pop Culture & Entertainment
Who is known as the 'King of Pop'?,Michael Jackson,Elvis Presley,Prince Rogers,Freddie Mercury,1,Pop Culture & Entertainment
Which TV show features a coffee shop called Central Perk?,Friends,Cheers,Seinfeld,How I Met Your Mother,2,Pop Culture & Entertainment
What is the name of Harry Potter's pet owl?,Hedwig,Fawkes,Crookshanks,Scabbers,2,Pop Culture & Entertainment
Who sang 'Like a Virgin' in the 1980s?,Madonna,Cyndi Lauper,Whitney Houston,Janet Jackson,3,Pop Culture & Entertainment
Which artist is known for the hit song 'Thinking Out Loud'?,Ed Sheeran,John Legend,Sam Smith,Bruno Mars,3,Pop Culture & Entertainment
Who directed the 'Lord of the Rings' film trilogy?,Peter Jackson,Steven Spielberg,James Cameron,George Lucas,3,Pop Culture & Entertainment
Which character did Johnny Depp play in 'Pirates of the Caribbean'?,Jack Sparrow,Will Turner,Davy Jones,Gibbs,2,Pop Culture & Entertainment
What is the name of the fictional continent in 'Game of Thrones'?,Westeros,Middle-earth,Narnia,Pern,4,Pop Culture & Entertainment
Which film won the Oscar for Best Picture in 1994?,Forrest Gump,Pulp Fiction,The Lion King,The Shawshank Redemption,5,Pop Culture & Entertainment
Which animated film features a character named Buzz Lightyear?,Toy Story,Shrek,Finding Nemo,The Incredibles,2,Pop Culture & Entertainment
Who played the character of Wolverine in the X-Men films?,Hugh Jackman,Chris Hemsworth,Robert Downey Jr.,Ryan Reynolds,3,Pop Culture & Entertainment
Which pop star is known for her song 'Shake It Off'?,Taylor Swift,Katy Perry,Ariana Grande,Selena Gomez,2,Pop Culture & Entertainment
In which TV series does the character Walter White appear?,Breaking Bad,The Sopranos,Mad Men,Dexter,2,Pop Culture & Entertainment
Who created the animated series 'The Simpsons'?,Matt Groening,Trey Parker,Seth MacFarlane,Mike Judge,4,Pop Culture & Entertainment
Which actor voiced the character of Woody in 'Toy Story'?,Tom Hanks,Tim Allen,Billy Crystal,Mike Myers,3,Pop Culture & Entertainment
Which singer is known for the album 'Lemonade'?,Beyoncé,Rihanna,Adele,Lady Gaga,2,Pop Culture & Entertainment
What is the highest-grossing film of all time as of 2023?,Avatar,Avengers: Endgame,Titanic,Star Wars: The Force Awakens,4,Pop Culture & Entertainment
Which actor played the Joker in 'The Dark Knight'?,Heath Ledger,Jared Leto,Joaquin Phoenix,Jack Nicholson,3,Pop Culture & Entertainment
Which TV show is set in the fictional town of Riverdale?,Riverdale,Twin Peaks,Smallville,Gotham,4,Pop Culture & Entertainment
Who wrote the 'A Song of Ice and Fire' book series?,George R. R. Martin,J.K. Rowling,J.R.R. Tolkien,Stephen King,5,Pop Culture & Entertainment
Which band released the album 'Abbey Road'?,The Beatles,The Rolling Stones,Led Zeppelin,Pink Floyd,3,Pop Culture & Entertainment
In which film does the character Forrest Gump appear?,Forrest Gump,Cast Away,Saving Private Ryan,The Green Mile,2,Pop Culture & Entertainment
What is the main setting for the TV show 'The Office'?,Scranton,New York,Chicago,Philadelphia,2,Pop Culture & Entertainment
Which superhero is known as the 'Man of Steel'?,Superman,Batman,Iron Man,Thor,1,Pop Culture & Entertainment
Which sport is known as the 'king of sports'?,Soccer,Tennis,Golf,Hockey,2,Sports
Who has won the most NBA championships as a player?,Bill Russell,Michael Jordan,Kobe Bryant,LeBron James,3,Sports
What is the maximum score in a single frame of tenpin bowling?,30,50,40,20,4,Sports
Which country has won the most FIFA World Cup titles?,Brazil,Italy,Germany,Argentina,2,Sports
In which year was the first modern Olympic Games held?,1896,1900,1888,1892,3,Sports
What is the distance of a marathon race?,26.2 miles,25 miles,30 miles,20 miles,2,Sports
Which tennis player holds the record for the most Grand Slam titles?,Margaret Court,Serena Williams,Steffi Graf,Martina Navratilova,5,Sports
How many players are there in a rugby union team?,15,13,11,12,4,Sports
"In golf, what is a 'bogey'?",One over par,Two under par,Hole in one,Same as par,3,Sports
Which NFL team has the most Super Bowl wins?,Pittsburgh Steelers,New England Patriots,Dallas Cowboys,San Francisco 49ers,5,Sports
Which country hosted the 2016 Summer Olympics?,Brazil,China,Greece,Japan,2,Sports
What is the term for three consecutive strikes in bowling?,Turkey,Duck,Chicken,Eagle,3,Sports
In which city is the Wimbledon tennis tournament held?,London,Paris,New York,Melbourne,1,Sports
Which sport is associated with the term 'hat-trick'?,Cricket,Football,Rugby,Tennis,3,Sports
Who is known as the 'Lightning Bolt' in athletics?,Usain Bolt,Tyson Gay,Carl Lewis,Justin Gatlin,2,Sports
Which player won the FIFA World Cup Golden Ball in 2014?,Lionel Messi,Thomas Müller,Neymar Jr.,Cristiano Ronaldo,4,Sports
Which sport uses a piece of equipment called a 'bladder'?,Rugby,Soccer,Tennis,Golf,7,Sports
"In cycling, what is the 'peloton'?",Main group,Sprint finish,Mountain stage,Time trial,5,Sports
Which horse won the Triple Crown in 2015?,American Pharoah,Justify,Secretariat,Seattle Slew,6,Sports
Which country's team is known as the 'Springboks'?,South Africa,New Zealand,Australia,England,3,Sports
In which sport is the Davis Cup awarded?,Tennis,Golf,Cricket,Rugby,3,Sports
Which Formula 1 driver was nicknamed 'The Professor'?,Alain Prost,Ayrton Senna,Niki Lauda,Lewis Hamilton,6,Sports
Which athlete is known as the 'Flying Finn'?,Paavo Nurmi,Emil Zatopek,Jesse Owens,Carl Lewis,7,Sports
Which sport features a move called an 'alley-oop'?,Basketball,Volleyball,Baseball,Football,2,Sports
Who holds the record for the fastest serve in tennis?,Sam Groth,Andy Roddick,Ivo Karlovic,Pete Sampras,5,Sports
What does CPU stand for in computing?,Central Processing Unit,Computer Power Unit,Central Performance Unit,Core Processing Unit,1,Technology & Computers
Which company developed the Windows OS?,Microsoft Corporation,Apple Incorporated,Google Corporation,Amazon Incorporated,1,Technology & Computers
What is the primary function of RAM?,Temporary data storage,Permanent file storage,CPU cooling process,Networking operations,2,Technology & Computers
In what year was the World Wide Web invented?,1989,1995,1983,1999,3,Technology & Computers
What does HTML stand for?,Hypertext Markup Language,Hyperlink Text Language,Hyper Tool Markup Language,Hypertext Main Language,2,Technology & Computers
Who is known as the father of computing?,Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,6,Technology & Computers
Which programming language is known for web development?,JavaScript,Python,Java,C++,3,Technology & Computers
What does the term IoT stand for?,Internet of Things,Internet of Tools,Integration of Technology,Internet of Tech,4,Technology & Computers
Which device is primarily used to store large files?,External hard drive,Graphics card,Wireless router,Bluetooth adapter,2,Technology & Computers
"In computer science, what does AI stand for?",Artificial Intelligence,Automated Input,Analog Integration,Advanced Interface,2,Technology & Computers
Which was the first electronic general-purpose computer?,ENIAC,UNIVAC,IBM 701,ZX Spectrum,5,Technology & Computers
What is the most common language for AI research?,Python,C++,Java,Ruby,4,Technology & Computers
Who coined the term 'World Wide Web'?,Tim Berners-Lee,Vint Cerf,Robert Cailliau,Marc Andreessen,4,Technology & Computers
Which company created the iPhone?,Apple Inc.,Samsung,Microsoft,Google,1,Technology & Computers
What is GNU's Not Unix an example of?,Recursive acronym,Dynamic language,Binary operation,Operating system,7,Technology & Computers
What does GUI stand for?,Graphical User Interface,General User Interface,Graphical Unified Interface,Global User Interface,2,Technology & Computers
Which technology is used for contactless payments?,NFC,QR codes,Bluetooth,Wi-Fi,3,Technology & Computers
What is the primary purpose of a firewall?,Network security,Data encryption,Process optimization,File storage,3,Technology & Computers
Which programming language was first?,Fortran,Python,C++,Java,5,Technology & Computers
What does DSL stand for in internet technology?,Digital Subscriber Line,Data Service Line,Digital Service Link,Data Subscriber Link,4,Technology & Computers
Who is the creator of the Linux kernel?,Linus Torvalds,Richard Stallman,Dennis Ritchie,Ken Thompson,5,Technology & Computers
What does USB stand for?,Universal Serial Bus,Universal System Bus,Unified Serial Bus,Universal Service Bus,2,Technology & Computers
What type of malware is designed to replicate itself?,Computer virus,Adware,Spyware,Ransomware,3,Technology & Computers
Which company is known for the PlayStation console?,Sony,Microsoft,Nintendo,Sega,2,Technology & Computers
What is the main function of a router?,Direct network traffic,Store user data,Encrypt user files,Optimize graphics,3,Technology & Computers
What is the primary ingredient in guacamole?,Avocado,Tomato,Cucumber,Zucchini,1,Food & Drink
Which country is famous for its sushi?,Japan,China,Thailand,Korea,1,Food & Drink
What type of alcohol is in a traditional mojito cocktail?,Rum,Vodka,Whisky,Tequila,2,Food & Drink
What fruit is known as the 'king of fruits' in Asia?,Durian,Mango,Lychee,Rambutan,3,Food & Drink
What is the main ingredient in traditional hummus?,Chickpeas,Lentils,Peas,Beans,2,Food & Drink
Which cheese is traditionally used in a Greek salad?,Feta,Brie,Gouda,Cheddar,2,Food & Drink
What is the most consumed fruit in the world?,Banana,Apple,Orange,Grapes,3,Food & Drink
Which country is the largest producer of coffee?,Brazil,Colombia,Vietnam,Ethiopia,4,Food & Drink
What kind of pastry is used in a traditional mille-feuille?,Puff pastry,Phyllo dough,Shortcrust,Choux pastry,5,Food & Drink
What type of meat is traditionally used in a Wiener Schnitzel?,Veal,Pork,Chicken,Beef,4,Food & Drink
What is the main flavoring in a traditional pesto sauce?,Basil,Rosemary,Oregano,Thyme,2,Food & Drink
Which nut is used to make marzipan?,Almond,Walnut,Cashew,Peanut,3,Food & Drink
Which country is known for inventing the croissant?,France,Italy,Spain,Belgium,3,Food & Drink
In which country did cheddar cheese originate?,England,France,Italy,Sweden,2,Food & Drink
What is traditionally added to gin to make a gin and tonic?,Tonic water,Cola,Ginger ale,Lemonade,1,Food & Drink
What is the main ingredient in black pudding?,Blood,Liver,Kidney,Heart,5,Food & Drink
What is the primary ingredient of a traditional tom yum soup?,Shrimp,Beef,Chicken,Pork,4,Food & Drink
What type of pastry is used in a traditional baklava?,Phyllo dough,Puff pastry,Shortcrust,Choux pastry,3,Food & Drink
Which fruit is dried to make prunes?,Plums,Dates,Figs,Raisins,3,Food & Drink
Which alcoholic beverage is made from fermented apples?,Cider,Mead,Beer,Sake,2,Food & Drink
What is the main ingredient in a traditional risotto?,Rice,Barley,Couscous,Quinoa,2,Food & Drink
Which spice is known as the 'queen of spices'?,Cardamom,Turmeric,Saffron,Cinnamon,5,Food & Drink
What is the main ingredient in traditional gazpacho?,Tomato,Cucumber,Bell pepper,Onion,2,Food & Drink
In which country did the Caesar salad originate?,Mexico,Italy,USA,Greece,4,Food & Drink
What is the primary ingredient in traditional eggnog?,Eggs,Milk,Cream,Whiskey,3,Food & Drink
Who wrote 'Pride and Prejudice'?,Jane Austen,Emily Brontë,Mary Shelley,George Eliot,2,Literature
Which play features the character Othello?,Othello,Hamlet,Macbeth,King Lear,1,Literature
In which book does the character Atticus Finch appear?,'To Kill a Mockingbird','The Great Gatsby','Catcher in the Rye','1984',2,Literature
Which novel begins with the line: 'Call me Ishmael'?,'Moby-Dick','The Odyssey','War and Peace','Great Expectations',6,Literature
What is the setting for 'The Great Gatsby'?,Long Island,New Orleans,Chicago,Los Angeles,3,Literature
Which writer created the detective Sherlock Holmes?,Arthur Conan Doyle,Agatha Christie,Raymond Chandler,Dashiell Hammett,2,Literature
Which book features the character Big Brother?,'1984','Brave New World','Fahrenheit 451','Animal Farm',3,Literature
Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Pablo Neruda,Isabel Allende,Julio Cortázar,5,Literature
What is the central theme of 'Animal Farm'?,Revolution,Romance,Adventure,Mystery,2,Literature
Who is the main protagonist in 'Crime and Punishment'?,Raskolnikov,Ivan Ilyich,Anna Karenina,Pierre Bezukhov,6,Literature
Which novel is set in Middle-earth?,'The Hobbit','Pride and Prejudice','Dracula','Jane Eyre',3,Literature
Who is the author of 'The Catcher in the Rye'?,J.D. Salinger,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,2,Literature
Which poet wrote 'The Road Not Taken'?,Robert Frost,Walt Whitman,Emily Dickinson,T.S. Eliot,2,Literature
Who wrote 'Jane Eyre'?,Charlotte Brontë,Anne Brontë,Mary Shelley,Emily Brontë,3,Literature
Which book includes the character Hester Prynne?,'The Scarlet Letter','The Crucible','Sense and Sensibility','Wuthering Heights',5,Literature
Who wrote 'The Divine Comedy'?,Dante Alighieri,Homer,Virgil,Geoffrey Chaucer,4,Literature
Which book begins with 'It was the best of times'?,'A Tale of Two Cities','Great Expectations','Oliver Twist','Bleak House',4,Literature
Who created the character of Hercule Poirot?,Agatha Christie,Dorothy L. Sayers,Ngaio Marsh,Arthur Conan Doyle,3,Literature
Who wrote 'The Grapes of Wrath'?,John Steinbeck,William Faulkner,Ernest Hemingway,F. Scott Fitzgerald,3,Literature
What is the title of the play featuring Willy Loman?,'Death of a Salesman','The Crucible','A Streetcar Named Desire','Long Day's Journey',4,Literature
Which author wrote 'Ulysses'?,James Joyce,Virginia Woolf,D.H. Lawrence,E.M. Forster,5,Literature
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,Bram Stoker,Robert Louis Stevenson,Mary Shelley,2,Literature
Who is known as the King of Pop?,Michael Jackson,Elvis Presley,Prince Nelson,Freddie Mercury,1,Music
What band did Freddie Mercury lead?,Queen,The Beatles,Led Zeppelin,The Rolling Stones,1,Music
Which composer was deaf?,Beethoven,Mozart,Bach,Chopin,2,Music
What is Madonna's real first name?,Madonna,Maria,Margaret,Monica,3,Music
What genre is Taylor Swift known for?,Pop,Jazz,Blues,Classical,1,Music
Which band is known for 'Stairway to Heaven'?,Led Zeppelin,Pink Floyd,Eagles,Fleetwood Mac,2,Music
Who composed 'The Four Seasons'?,Vivaldi,Handel,Bach,Mozart,5,Music
What is the highest male singing voice?,Tenor,Baritone,Bass,Alto,4,Music
Who sang 'Like a Rolling Stone'?,Bob Dylan,Neil Young,Paul Simon,Bruce Springsteen,3,Music
What was The Beatles' first album?,Please Please Me,Abbey Road,Yellow Submarine,Revolver,6,Music
Which jazz musician was nicknamed 'Satchmo'?,Louis Armstrong,Duke Ellington,Miles Davis,John Coltrane,4,Music
What is the primary instrument in a mariachi band?,Trumpet,Violin,Guitar,Accordion,5,Music
Who is famous for the song 'My Way'?,Frank Sinatra,Dean Martin,Tony Bennett,Nat King Cole,2,Music
What country is the band ABBA from?,Sweden,Norway,Denmark,Finland,1,Music
Which singer is known as 'The Boss'?,Bruce Springsteen,Billy Joel,Elton John,Rod Stewart,2,Music
What is the Rolling Stones' iconic logo?,Tongue and lips,Guitar and rose,Drum and sticks,Bass and clef,3,Music
Who is the lead vocalist of U2?,Bono,The Edge,Larry Mullen,Adam Clayton,3,Music
Which operatic term means 'little book'?,Libretto,Aria,Recitative,Sostenuto,7,Music
What music style did Louis Armstrong pioneer?,Jazz,Blues,Rock,Reggae,2,Music
What was Nirvana's debut album?,Bleach,Nevermind,In Utero,Incesticide,7,Music
What is the term for a piano concerto's first part?,Allegro,Adagio,Scherzo,Presto,8,Music
Which singer is known as the 'Queen of Soul'?,Aretha Franklin,Diana Ross,Whitney Houston,Tina Turner,3,Music
Who wrote the opera 'Carmen'?,Bizet,Verdi,Puccini,Rossini,6,Music
Which band released 'Dark Side of the Moon'?,Pink Floyd,Queen,Genesis,The Police,2,Music
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,1,Art & Architecture
Which architect designed the Guggenheim Museum in Bilbao?,Frank Gehry,Zaha Hadid,I. M. Pei,Renzo Piano,5,Art & Architecture
What is the primary medium used in frescos?,Wet plaster,Dry clay,Canvas,Wood panel,4,Art & Architecture
Which artist is famous for the painting 'Starry Night'?,Vincent van Gogh,Salvador Dalí,Henri Matisse,Edvard Munch,2,Art & Architecture
The Parthenon is located in which city?,Athens,Rome,Cairo,Istanbul,3,Art & Architecture
Which movement is Salvador Dalí associated with?,Surrealism,Cubism,Impressionism,Expressionism,3,Art & Architecture
Which structure is considered a wonder of Ancient Rome?,Colosseum,Acropolis,Pyramids,Stonehenge,2,Art & Architecture
Which artist is known for his Blue Period?,Pablo Picasso,Georges Braque,Paul Cézanne,Henri Rousseau,4,Art & Architecture
What material is primarily used in bronze sculptures?,Copper and tin,Iron and zinc,Lead and gold,Silver and brass,6,Art & Architecture
Which famous artist cut off his own ear?,Vincent van Gogh,Henri Matisse,Paul Gauguin,Claude Monet,2,Art & Architecture
Which architect is known for the falling water house?,Frank Lloyd Wright,Eero Saarinen,Walter Gropius,Le Corbusier,5,Art & Architecture
Which style is characterized by ornate detail and decoration?,Baroque,Gothic,Renaissance,Brutalism,4,Art & Architecture
What is Michelangelo's famous sculpture depicting David made of?,Marble,Granite,Limestone,Sandstone,2,Art & Architecture
Which period came directly after the Renaissance in art history?,Baroque,Rococo,Neoclassical,Romantic,6,Art & Architecture
In which city is the Louvre Museum located?,Paris,London,Berlin,Madrid,1,Art & Architecture
What is the primary function of flying buttresses?,Support walls,Decorate ceilings,Cool interiors,Divert water,7,Art & Architecture
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Titian,Caravaggio,1,Art & Architecture
What is the architectural style of the Eiffel Tower?,Iron lattice,Gothic revival,Art nouveau,Neoclassical,3,Art & Architecture
Which artist is famed for the work 'The Persistence of Memory'?,Salvador Dalí,Joan Miró,Rene Magritte,Max Ernst,4,Art & Architecture
What is the tallest statue in the world as of 2023?,Statue of Unity,Christ the Redeemer,Spring Temple Buddha,Statue of Liberty,8,Art & Architecture
Which movement is characterized by abstract forms and bold colors?,Abstract Expressionism,Cubism,Impressionism,Surrealism,5,Art & Architecture
Who designed the glass pyramid entrance to the Louvre?,I. M. Pei,Norman Foster,Santiago Calatrava,Ludwig Mies,6,Art & Architecture
Which artist is known for his series of Water Lilies paintings?,Claude Monet,Edgar Degas,Paul Cézanne,Gustave Courbet,2,Art & Architecture
Which structure is widely regarded as a prime example of Gothic architecture?,Notre-Dame Cathedral,Sagrada Familia,St. Peter's Basilica,Pantheon,3,Art & Architecture
Which artistic movement emphasized light and color over realism?,Impressionism,Realism,Renaissance,Baroque,3,Art & Architecture
What is the name of the kingdom in Disney's 'Frozen'?,Arendelle,Atlantica,Agrabah,Narnia,2,Movies & TV
Who directed the classic film 'Psycho'?,Alfred Hitchcock,Stanley Kubrick,Orson Welles,Francis Ford Coppola,5,Movies & TV
What TV show features a character named Sheldon Cooper?,The Big Bang Theory,Friends,How I Met Your Mother,The Office,2,Movies & TV
Which movie features a computer named HAL 9000?,2001: A Space Odyssey,Blade Runner,The Matrix,Star Trek: The Motion Picture,6,Movies & TV
What is the highest-grossing film of all time?,Avatar,Titanic,Gone with the Wind,Star Wars,4,Movies & TV
"In 'Breaking Bad', what is Walter White's alias?",Heisenberg,Gus Fring,Hank Schrader,Saul Goodman,3,Movies & TV
What is the main setting of the TV show 'Friends'?,Central Perk,MacLaren's Pub,Monk's Café,Paddy's Pub,1,Movies & TV
Which actress played Hermione Granger in 'Harry Potter'?,Emma Watson,Emma Stone,Emma Roberts,Emma Thompson,2,Movies & TV
Which director is known for the film 'Pulp Fiction'?,Quentin Tarantino,Martin Scorsese,Steven Spielberg,James Cameron,3,Movies & TV
What show features the Stark family?,Game of Thrones,The Witcher,Vikings,The Crown,3,Movies & TV
Who played the role of Jack Dawson in 'Titanic'?,Leonardo DiCaprio,Brad Pitt,Johnny Depp,Matt Damon,2,Movies & TV
What is the name of the main character in 'The Matrix'?,Neo,Morpheus,Trinity,Smith,2,Movies & TV
"In 'The Simpsons', who is Bart's sister?",Lisa,Maggie,Patty,Selma,1,Movies & TV
Which movie features the song 'My Heart Will Go On'?,Titanic,Braveheart,The Bodyguard,Notting Hill,2,Movies & TV
In what year was the first 'Star Wars' film released?,1977,1980,1983,1975,4,Movies & TV
Who played Forrest Gump in the movie?,Tom Hanks,Tom Cruise,Tom Hardy,Tom Selleck,1,Movies & TV
What is the title of the first James Bond film?,Dr. No,Goldfinger,Thunderball,From Russia with Love,5,Movies & TV
Which actor has portrayed Spider-Man in films?,Tom Holland,Chris Evans,Chris Pratt,Chris Hemsworth,2,Movies & TV
What is the fictional brand of cigarettes in 'X-Files'?,Morley,Marlboro,Winston,Chesterfield,6,Movies & TV
What is the name of the school in 'Dead Poets Society'?,Welton Academy,Hill Valley School,Rydell High,Shermer High,4,Movies & TV
Which movie is about the sinking of the USS Indianapolis?,Jaws,The Abyss,Das Boot,K-19: The Widowmaker,5,Movies & TV
What is the name of the sword in 'The Lord of the Rings'?,Andúril,Glamdring,Sting,Narsil,6,Movies & TV
"In 'The Godfather', who is the consigliere?",Tom Hagen,Sonny Corleone,Michael Corleone,Fredo Corleone,4,Movies & TV
Which character's nickname is 'The Dude'?,Jeff Lebowski,Walter Sobchak,Donny Kerabatsos,Jack Sparrow,5,Movies & TV
What is the largest land animal on Earth?,African elephant,Asian elephant,White rhinoceros,Hippopotamus,1,Animals
Which bird is known for its impressive mimicry skills?,Lyrebird,Mockingbird,Parakeet,Cockatoo,5,Animals
What is a group of lions called?,Pride,Pack,Flock,Herd,2,Animals
Dolphins primarily use what to locate objects?,Echolocation,Sonogram,Radar vision,Magnetism,3,Animals
Which mammal is known for carrying its babies in a pouch?,Kangaroo,Koala,Sloth,Panda,1,Animals
